id,numeroInputs,vida_jogador1,vida_jogador2,primeiraTeclaJogador1,segundaTeclaJogador1,terceiraTeclaJogador1,quartaTeclaJogador1,turnoAtual,turno_ataque,turno_defesa,turnoJogador1,partida,teclaDisponivel_1,teclaDisponivel_2,teclaDisponivel_3,teclaDisponivel_4,teclaDisponivel_5,teclaDisponivel_6,teclaDisponivel_7,delta_vida_j1,delta_vida_j2,ratio_vida,total_teclas_disponiveis,tecla_anterior_1,tecla_anterior_2,tecla_anterior_3,tecla_anterior_4,zona_vida_j1,zona_vida_j2,vantagem,turnos_desde_disponivel_1,turnos_desde_disponivel_2,turnos_desde_disponivel_3,turnos_desde_disponivel_4,turnos_desde_disponivel_5,turnos_desde_disponivel_6,turnos_desde_disponivel_7
Player1,4,100.0,100.0,6,6,1,1,0,1.0,0.0,ataque,6,1,1,1,1,1,1,1,0.0,0.0,0.9999999900000002,7,0.0,0.0,0.0,0.0,3,3,0,0,0,0,0,0,0,0
Player1,4,100.0,72.0,4,1,3,5,1,0.0,1.0,defesa,6,1,1,1,1,1,1,1,0.0,-28.0,1.3888888695987658,7,6.0,0.0,0.0,0.0,3,2,1,0,0,0,0,0,0,0
Player1,4,82.5,82.0,6,5,3,5,2,1.0,0.0,ataque,6,0,1,1,1,1,1,1,-17.5,10.0,1.0060975487061274,6,4.0,6.0,0.0,0.0,3,3,1,1,0,0,0,0,0,0
Player1,4,87.5,56.0,7,2,6,7,3,0.0,1.0,defesa,6,0,1,0,0,0,1,1,5.0,-26.0,1.562499972098215,3,6.0,4.0,6.0,0.0,3,2,1,2,0,1,1,1,0,0
Player1,4,62.5,50.0,1,7,6,2,4,1.0,0.0,ataque,6,1,1,0,1,0,1,1,-25.0,-6.0,1.2499999750000006,5,7.0,6.0,4.0,6.0,2,1,1,0,0,2,0,2,0,0
Player1,4,60.5,19.5,2,5,1,2,5,0.0,1.0,defesa,6,1,1,0,0,1,1,0,-2.0,-30.5,3.102563943458259,4,1.0,7.0,6.0,4.0,2,0,1,0,0,3,1,0,0,1
Player1,4,47.5,17.5,6,4,4,4,6,1.0,0.0,ataque,6,0,1,0,1,1,1,0,-13.0,-2.0,2.7142855591836823,4,2.0,1.0,7.0,6.0,1,0,1,1,0,4,0,0,0,2
Player1,4,47.5,2.8000000000000007,7,6,2,2,7,0.0,1.0,defesa,6,0,1,0,0,0,1,1,0.0,-14.7,16.964279655614405,3,6.0,2.0,1.0,7.0,1,0,1,2,0,5,1,1,0,0
Player1,4,100.0,100.0,4,6,2,1,0,1.0,0.0,ataque,7,1,1,1,1,1,1,1,0.0,0.0,0.9999999900000002,7,0.0,0.0,0.0,0.0,3,3,0,0,0,0,0,0,0,0
Player1,4,100.0,92.5,3,3,3,5,1,0.0,1.0,defesa,7,1,1,1,1,1,1,1,0.0,-7.5,1.0810810693937183,7,4.0,0.0,0.0,0.0,3,3,1,0,0,0,0,0,0,0
Player1,4,89.0,100.0,3,5,5,7,2,1.0,0.0,ataque,7,0,1,1,0,1,1,1,-11.0,7.5,0.8899999911000002,5,3.0,4.0,0.0,0.0,3,3,0,1,0,0,1,0,0,0
Player1,4,98.0,88.89999999999998,1,4,2,4,3,0.0,1.0,defesa,7,1,1,0,1,0,1,1,9.0,-11.100000000000023,1.1023621923243851,5,3.0,3.0,4.0,0.0,3,3,1,0,0,1,0,1,0,0
Player1,4,78.0,85.89999999999998,6,2,1,2,4,1.0,0.0,ataque,7,1,1,0,0,0,1,0,-20.0,-3.0,0.9080325854710994,3,1.0,3.0,3.0,4.0,3,3,0,0,0,2,1,2,0,1
